order_date,sales,profit
2014-01-03,16.448,5.5512
2014-01-04,288.06,-65.9901
2014-01-05,19.536,4.884
2014-01-06,4407.1,1358.0524
2014-01-07,87.15799999999999,-71.9621
2014-01-09,40.544,10.918
2014-01-10,54.83,22.6537
2014-01-11,9.94,3.0814
2014-01-13,3553.795,673.6386
2014-01-14,61.96,-53.2856
2014-01-15,149.95,65.978
2014-01-16,299.964,-5.933499999999999
2014-01-18,64.864,6.4864
2014-01-19,378.594,-287.9976
2014-01-20,2673.87,584.3695
2014-01-21,25.248,4.1028
2014-01-23,46.019999999999996,19.2384
2014-01-26,1097.25,150.327
2014-01-27,426.67,9.6827
2014-01-28,3.928,1.3257
2014-01-30,240.5,11.6502
2014-01-31,290.666,3.4196
2014-02-01,468.9,206.316
2014-02-02,211.64600000000002,7.152499999999999
2014-02-03,97.11200000000001,31.5614
2014-02-04,134.38400000000001,51.1432
2014-02-06,330.512,76.4833
2014-02-07,180.32,59.3488
2014-02-08,14.56,5.5328
2014-02-11,2043.4,293.5285
2014-02-12,129.568,-24.294
2014-02-14,576.726,120.1764
2014-02-15,21.36,7.209
2014-02-16,9.04,-15.658
2014-02-17,54.208,8.8088
2014-02-18,37.784,-13.846799999999998
2014-02-20,95.59,35.5612
2014-02-21,8.85,-13.7175
2014-02-22,19.44,9.3312
2014-02-23,11.364,-4.522500000000001
2014-02-24,55.672,18.789299999999997
2014-02-27,19.456,3.4048
2014-03-01,2203.151,-208.96140000000003
2014-03-02,202.384,56.0112
2014-03-03,1345.8919999999998,-629.7988999999999
2014-03-04,370.452,20.0778
2014-03-05,705.562,261.19010000000003
2014-03-07,1561.062,134.1539
2014-03-10,741.956,4.188600000000001
2014-03-11,918.314,279.06100000000004
2014-03-14,2108.55,528.5024
2014-03-15,370.78200000000004,33.598
2014-03-16,471.92,29.495
2014-03-17,3960.358,-831.8572
2014-03-18,28106.716,-954.7089000000001
2014-03-19,590.762,68.6353
2014-03-21,4109.816,1055.3735
2014-03-22,464.09299999999996,-50.9345
2014-03-23,945.064,126.9224
2014-03-24,65.38,26.2758
2014-03-25,459.146,96.6684
2014-03-26,145.13,30.7658
2014-03-28,1823.8039999999999,-11.075400000000002
2014-03-29,890.841,-152.7156
2014-03-30,1170.3220000000001,232.7529
2014-03-31,1959.552,355.1097
2014-04-01,119.88799999999999,26.0896
2014-04-02,1458.558,407.39619999999996
2014-04-03,233.45,85.6044
2014-04-04,475.844,105.4521
2014-04-05,5295.098000000001,253.9044
2014-04-06,1650.69,299.5152
2014-04-07,1021.1700000000001,305.05600000000004
2014-04-08,1958.75,359.8481
2014-04-11,1915.24,523.2729
2014-04-12,1912.123,152.6581
2014-04-13,638.576,-384.7942
2014-04-15,294.71999999999997,108.0
2014-04-16,39.072,9.768
2014-04-18,1020.532,169.9374
2014-04-19,205.47,87.5664
2014-04-20,1250.45,-194.4528
2014-04-21,845.36,5.5755
2014-04-22,257.752,124.78689999999999
2014-04-23,643.98,-0.305299999999999
2014-04-25,2379.9939999999997,332.8671
2014-04-26,282.568,40.745
2014-04-28,2578.476,292.1672
2014-04-29,768.8439999999999,101.6814
2014-04-30,1048.74,276.49559999999997
2014-05-02,506.12,91.9572
2014-05-03,72.632,28.8624
2014-05-04,187.43200000000002,58.5624
2014-05-05,260.977,34.5131
2014-05-06,254.456,85.7158
2014-05-07,1091.35,215.8138
2014-05-08,1799.97,239.996
2014-05-09,394.48,95.1736
2014-05-10,2343.799,57.82600000000002
2014-05-11,1642.802,-289.6088
2014-05-12,734.846,-119.22550000000001
2014-05-13,898.382,-242.28369999999995
2014-05-14,310.88,23.316
2014-05-16,289.28,20.85
2014-05-17,91.68,45.84
2014-05-18,948.9480000000001,-158.00400000000002
2014-05-19,91.62,35.6472
2014-05-20,320.10400000000004,62.058099999999996
2014-05-21,4264.3279999999995,1719.5087
2014-05-22,180.93,46.580999999999996
2014-05-23,323.75800000000004,58.050200000000004
2014-05-24,116.28,56.9772
2014-05-25,119.53999999999999,-183.78379999999999
2014-05-26,1325.718,130.5086
2014-05-27,2157.394,111.54079999999999
2014-05-28,221.96800000000002,59.3088
2014-05-30,1924.913,222.0358
2014-05-31,773.7,230.9727
2014-06-01,5188.5199999999995,1576.7509
2014-06-02,738.598,218.36079999999998
2014-06-03,741.336,96.10860000000001
2014-06-04,456.272,-6.493199999999999
2014-06-06,1374.0010000000002,-265.2367
2014-06-07,281.397,-230.33159999999998
2014-06-08,2501.264,193.365
2014-06-09,5463.008,629.0289
2014-06-10,491.55,240.8595
